,id,zip,file name,entry,Description,CPV,URI
20,20,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_151353_5.atom,57,"Contratar el suministro energético de electricidad de una compañía Comercializadora para la Unidad Alimentaria de MERCASTURIAS, S.A.S.M.E. sita en el Polígono de Silvota (ampliación), Llanera (Asturias)",['9310000.0'],https://contrataciondelestado.es/wps/wcm/connect/41c148c5-5e90-449f-a4d4-d504bdc3f117/DOC20170804111512EXP+0217+MERCASTURIAS+SUMINISTRO+ENERGETICO+DE+ELECTRICIDAD.pdf?MOD=AJPERES
21,21,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_151353_4.atom,35,Renovación del suministro de las licencias informáticas SYMC Backup Exec (opciones NDMP y DEDUPLICATION) que otorgan derecho al mantenimiento y actualizaciones del software de las copias de seguridad correspondiente a la cabina de datos instalada en Unión de Mutuas.,['48218000.0'],https://contrataciondelestado.es/wps/wcm/connect/8b97eb49-e066-4afd-bda7-f42c06e4420a/DOC20180208094237Pliego+Condiciones+Particulares+y+Prescripciones+Tecnicas.pdf?MOD=AJPERES
23,23,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_151353_1.atom,284,"Servicios de Transporte, instalación y posterior desmontaje relativos al proyecto expositivo ""Unfinished"" - Berlín Alemania, The Akademie der Künste (Academy of Arts), del 9 de febrero al 21 de marzo de 2018.",['60000000.0'],https://contrataciondelestado.es/wps/wcm/connect/6b975061-7730-47af-b51e-9886c99473e7/DOC20171220133246Instruccion+de+Contratacion+2017.pdf?MOD=AJPERES
24,24,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_151353.atom,323,"Constituye el objeto principal de este contrato la prestación de un Servicio de Formación para gestores de contenido de los portales de los ayuntamientos consorciados que están alojados en la infraestructura Liferay del CAST.

También se incluye dentro del objeto de este contrato el Servicio de Soporte Funcional a los usuarios y administradores de los portales de los ayuntamientos y del propio Consorcio, en relación al gestor de contenidos y el Servicio de Soporte Técnico al personal del CPD del CAST en relación a la instalación de Liferay.","['[72413000, 80000000]']",https://contrataciondelestado.es/wps/wcm/connect/2146e462-1e31-45de-a207-d4adde2c2706/DOC20160728134207Documento+descriptivo_CST_2016_68-_FIRMADO.pdf?MOD=AJPERES
25,25,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_161226_13.atom,416,"Inspecciones periódicas reglamentarias de los vehículos para el transporte por carretera de mercancías peligrosas (ADR), perecederas (ATP), contenedores de carga seca (CSC) y grúas móviles autopropulsadas (ITC).- EXP 153/18",['71631200.0'],https://contrataciondelestado.es/wps/wcm/connect/69556a8c-e843-40d3-9fb6-e60b635c9c3a/DOC20180220130725FAS-15531240.PDF?MOD=AJPERES
26,26,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_161226_10.atom,158,"Adquisición de un ‘appliance’ Sophos SG 210 Fullguard o similiar, que incluya las siguientes características mínimas:
-	Protección de red
-	Capacidad de filtrado por puerto y por tipo de aplicación 
-	Protección correo electrónico
-	Proxy y protección web: filtrado por usuario o grupos, integración con Active Directory, filtrado de URL, filtrado de contenidos 
-	Soporte VPN con al menos 30 licencias SSL-VPN
-	Antivirus cliente (mínimo 30 licencias)
-	Gestión Multi-WAN
-	Fuente de alimentación redundante o sistema HA alternativo
-	PBR (Policy Based Routing)
-	Multi WAN Balancing
-	IPS, Antivirus, Botnet,  Antispam, y control de ataques tipo ransomware
-	Al menos 4 interfaces de red 10/100/1000
","['[48820000, 48822000, 32400000, 48800000]']",https://contrataciondelestado.es/wps/wcm/connect/ec426ae8-3e02-48ac-91dd-1e4074f6aa04/DOC20180214112142PCP+2018+05.pdf?MOD=AJPERES
27,27,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_161226_10.atom,145,Servicio de Dinamización de los Centros de Personas Mayores del Municipio de Molina de Segura. Incorpora condiciones especiales de ejecución de carácter social relativas a inserción sociolaboral de personas en situación de desempleo,['80400000.0'],https://contrataciondelestado.es/wps/wcm/connect/347483f5-0f94-4f0d-a225-9e88aa7049cb/DOC20180214120713000046+2018-1068+PCAP.pdf?MOD=AJPERES
29,29,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_161226_4.atom,155,"El objeto de la contratación es la adquisición de los siguientes equipos informáticos, con las siguientes características mínimas:
-	3 equipos “Thin client” con las siguientes características (Fujitsu Futro S520 o similar) :
-	5 monitores LED 24“
-	1 ordenador portátil convertible (Tipo Microsoft Surface PRO o similar)
-	1 tablet (tipo Samsung Galaxy Tab A T580 o similar):

","['[48810000, 48000000, 48800000]']",https://contrataciondelestado.es/wps/wcm/connect/7888d09f-fc0e-405a-b8c9-406b28926ad8/DOC20180214114849PCP+2018+06.pdf?MOD=AJPERES
30,30,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_161226_4.atom,146,"Servicios de asistencia técnica y la redacción del proyecto, bajo las prescripciones de Mercacódoba, necesario para solicitar la subvención del Programa de Cooperación Transfronteriza Interreg España-Portugal 2014-2020 (POCTEP)","['[73200000, 73000000]']",https://contrataciondelestado.es/wps/wcm/connect/8794d1c1-bdbe-46a9-9420-6fc3374ca970/DOC20180214122204PCP+INTERREG+07+2018.pdf?MOD=AJPERES
32,32,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_161226.atom,488,Servicio de impresión y artes finales a todo color en diferentes formatos y soportes para la CAMPAÑA DE CONCIENCIACIÓN 2018 “NO ES NO. CARNAVAL SIN VIOLENCIAS” de la Fundación Municipal de la Mujer del Área de Justicia Social del Excmo. Ayuntamiento de Cádiz.,['79823000.0'],https://contrataciondelestado.es/wps/wcm/connect/9bf094da-c21c-44a6-a3ac-8f46638c6dac/DOC201803211414572018002+PCA+Y+PPT+PROGRAMA+CONCIENCIACION+2018+NO+ES+NO+CARNAVAL+SIN+VIOLENCIAS.pdf?MOD=AJPERES
33,33,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_161226.atom,460,"Servicio de impresión y artes finales a todo color de la exposición ""Ilustres Anónimas 2018"" así como el servicio de impresión, artes finales así como montaje de la exposición ""Citas Feministas"" con motivo de la conmemoración del 8 de marzo, Día Internacional de las mujeres 2018, de la Fundación Municipal de la Mujer del Área de Justicia Social del Excmo. Ayuntamiento de Cádiz.",['79823000.0'],https://contrataciondelestado.es/wps/wcm/connect/a30e5496-9580-478a-9913-b13c21f3c292/DOC201803221437572018017+PCA-PPT+SERVICIO+IMPRESION-ARTES+FINALES+EXPOSICIONES+8-MARZO+2018.pdf?MOD=AJPERES
34,34,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_171850_13.atom,476,Servicio de talleres y actividades complementarias del mercado de artesanía Zoco de Guadalaviad. Incorporando condiciones especiales de ejecución  de carácter social relativas a inserción sociolaboral de personas en situación de desempleo de larga duración.,['92000000.0'],https://contrataciondelestado.es/wps/wcm/connect/4d81bfd3-0ed7-4bf7-a461-864f91b7955b/DOC20180216142905000070+2018-1068+PCAP+TALLERES+ZOCO.pdf?MOD=AJPERES
35,35,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_171850_13.atom,415,"Campamento de Verano 2018, incorporando condiciones especiales de ejecución de carácter social relativas a inserción sociolaboral de jovenes en situación de desempleo de larga duración menores de 30 años",['92000000.0'],https://contrataciondelestado.es/wps/wcm/connect/159c6758-cd21-4cde-858f-dad7277c885f/DOC20180219122310000069+2018+1068+Documentacion+CONTRATO+MENOR.pdf?MOD=AJPERES
36,36,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_171850_8.atom,171,"Servicio de organización y gestión del programa de actividades de ocio joven de fin de semana ""Toma la Calle"" de Molina de Segura 2018. Incorporando condiciones especiales de ejecución de carácter social relativas a inserción sociolaboral de jovenes en situación de desempleo de larga duración.",['92000000.0'],https://contrataciondelestado.es/wps/wcm/connect/8dedd8f3-238b-468b-8bfd-0e520241607f/DOC20180328104051000032+2018-1068+PCAP.pdf?MOD=AJPERES
39,39,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_181212_19.atom,411,"Los recursos humanos, técnicos y materiales necesarios para la adaptación del stand de Soria, montaje, desmontaje, mantenimiento y transporte que representará a la Diputación de Soria en la Feria ARATUR 2018",['92000000.0'],https://contrataciondelestado.es/wps/wcm/connect/cfaff2b1-a77b-40a9-b1f1-019f357bd744/DOC20180425105539PCA+Aratur.pdf?MOD=AJPERES
40,40,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_181212_13.atom,162," servicio de destrucción confidencial de documentación, a un nivel de seguridad 3 (confidencial) según la norma de
estandarización 32757-1, de un total de 1978 cajas de archivo normalizadas de la GVA (medidas de cada caja: 390
x 125 x 255 mm) que ocupan un total de 283 metros lineales",['92512100.0'],https://contrataciondelestado.es/wps/wcm/connect/cbfd156f-3059-4e08-8a33-eef7b8fe3e47/DOC20180423124454PCAP.pdf?MOD=AJPERES
41,41,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_181212_12.atom,255,"Contratación de los Servicios de Agencia de viajes, integrando la sostenibilidad ambiental y Consultoría para la MISIÓN COMERCIAL INVERSA EQUINO EUROPA-AMÉRICA DEL NORTE 2018, integrando la lucha contra la morosidad, por lotes.",['63510000.0'],https://contrataciondelestado.es/wps/wcm/connect/254a2203-b4ff-41b1-a75d-650959edd063/DOC20180502141708EASP18+047+PCAP.pdf?MOD=AJPERES
42,42,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_181212_12.atom,246,"Contratación menor del servicio de agencia de viajes, integrando la sostenibilidad ambiental y consultoría para la misión comercial inversa Música y Auxiliares mayo 2018, y la lucha contra la morosidad","['[63515000, 79400000]']",https://contrataciondelestado.es/wps/wcm/connect/5c35c343-db72-465a-a166-78e28a47beb0/DOC20180427150022EASP18+042+PCAP.PDF?MOD=AJPERES
44,44,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_181212_2.atom,240,"Contratar un servizo de Deseño, organización, montaxe, publicidade e realización da actividade “Lalín con Gusto 2018”, consistente no desenvolvemento de distintas mostras de cociña lalinense en vivo, con catas gratuítas e animación e seguridade, durante a fin de semana do 16 e 17 de xuño de 2018.
",['79952000.0'],https://contrataciondelestado.es/wps/wcm/connect/e6224143-f3b8-484c-8c0d-2ed3ac25e294/DOC20180510144935Basesparaapeticiondeofertas.pdf?MOD=AJPERES
45,45,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_181212_2.atom,209,"Asistencia Técnica para a redacción do proxecto de acondicionamento, mellora e accesibilidade e integración ambiental e paisaxística da contorna da Fortaleza de Goián e do Espazo Fortaleza no marco do parque transfronteirizo O Casteliño Fortaleza e nos obxectivos xerais da intervención difinida no proxecto 0044_VISIT_RIO_MINHO_1_P.",['71242000.0'],https://contrataciondelestado.es/wps/wcm/connect/61254dbe-f75b-4dcd-92ee-6796ff5afd98/DOC2018052809105602+PCA_Contrato+Servicios+Menor_26abr2018.pdf?MOD=AJPERES
48,48,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_191207_22.atom,298,Contrato Menor para el Proceso de Acreditación según Norma ISO 17025:2005 a los Laboratorios; de la Auditoria Interna para Proceso de Certificación según la Norma 9001:2015 y la asesoría para la adaptación del Sistema de calidad de los Laboratorios a la nueva Norma ISO/IEC 17025:2017 en la División de Productos Biológicos,['98000000.0'],https://contrataciondelestado.es/wps/wcm/connect/5696da36-247e-4672-87eb-df47c2bc44f7/DOC20180604165257PLIEGO+DE+ESPECIFICACIONES+TECNICAS.pdf?MOD=AJPERES
50,50,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_191207_18.atom,371,"Contractar el subministrament de 15 kits formats per una càmera de profunditat Kinect XBOX ONE, un adaptador de Kinect XBOX ONE per a PC i una pista de ball per a PC amb connexió USB per a l’execució del Conveni de col·laboració signat amb el Servei de Salut de les Illes Balears amb la finalitat de compartir i fer créixer la plataforma Play 4 Health.",['30200000.0'],https://contrataciondelestado.es/wps/wcm/connect/69e8b791-abc7-4604-bf11-963483ade725/DOC20180524085133Plec+Tecnic+FBIT02618.pdf?MOD=AJPERES
51,51,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_191207_13.atom,283,"Autorización de concesión de la autorización para uso privativo de bien de dominio público para actividades deportivas al aire libre en la playa del Puig de Santa Maria (fútbol, voley, tenis y castillos de arena).",['92600000.0'],https://contrataciondelestado.es/wps/wcm/connect/999da12b-c5c9-4651-87a7-1b91c60e4d66/DOC20180601123922PTA+actividades+deportivas.pdf?MOD=AJPERES
52,52,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_191207_13.atom,265,"Contratación del suministro, en régimen de alquiler de cuatro equipos multifunción y equipos de impresión con mantenimiento incluido, integrando minimización de residuos y eficiencia energética, para Extremadura Avante S.L.U","['[30120000, 30000000]']",https://contrataciondelestado.es/wps/wcm/connect/2ffefb5e-51bc-42e0-95a3-a50e461f58f9/DOC20180531113413EA18+006+PCAP.pdf?MOD=AJPERES
54,54,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_191207_8.atom,8,"Adquisición de un apilador eléctrico necesario para el desempeño de tareas del almacén de la Dirección Provincial de la Tesorería General de la Seguridad Social de Valencia, con las siguientes características:
- Capacidad de carga mínima de 1000 kg.
- Altura de elevación 3500 mm.
- Cargador de baterías incorporado.
- Altura de replegado máxima 2600mm.","['[42415100, 42415110]']",https://contrataciondelestado.es/wps/wcm/connect/fce52f02-23c9-4a4f-873c-09405d17f568/DOC2018041014022846IS1162018+DOCUMENTO+DESCRIPTIVO.PDF?MOD=AJPERES
55,55,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_191207_4.atom,210,"Contratación del Servicio de Consultoría para la Provisión Temporal de la Asistencia a los Comités de Inversiones de Extremadura Avante Inversiones SGEIC, SA, y sociedades del Grupo Avante, a través de un experto independiente.",['72220000.0'],https://contrataciondelestado.es/wps/wcm/connect/47a5c524-52b8-4824-aa41-867353b36074/DOC20180614114918EAI18+002+PCAP.pdf?MOD=AJPERES
56,56,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_191207_3.atom,336,"Realización de estudio del estado actual de la planta baia del Edificio ""García Flórez"" por medio de tecnología laser de escaner 3D, incluida reproducción de cámara de oficiales de la Fragata ""Numancia"" y conexión subterránea con el edificio ""Castro Monteagudo"".",['71251000.0'],https://contrataciondelestado.es/wps/wcm/connect/79f61b67-e2e6-47f9-a374-ef2612dcff51/DOC20180601120522Pliego+administrativo.pdf?MOD=AJPERES
57,57,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_201124_28.atom,443,"Instalación, organización y celebración de un mercado de carácter napoleónico durante los días 1, 2 y 3 de junio de 2018 con el que dinamizar diversas zonas del Municipio con motivo de la celebración de la capitulación de los tropas francesas acuarteladas en Santoña tras la Guerra de la Independencia.",['79950000.0'],https://contrataciondelestado.es/wps/wcm/connect/82191e65-46b3-48d0-ae0d-534803687f44/DOC20180404102022PLIE.pdf?MOD=AJPERES
60,60,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_201124_25.atom,477,"Asistencia técnica para la coordinación, preparación y elaboración de trabajos necesarios para la presentación de candidatura de la Diputación a la convocatoria de proyectos cofinanciados por el programa Interreg Sudoe del Feder 2014-2020",['72224000.0'],https://contrataciondelestado.es/wps/wcm/connect/fda04fa7-8f03-483c-89bf-312e7d05267d/DOC2018052913425302+PCA_Contrato+Servicios+Menor.pdf?MOD=AJPERES
69,69,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_201124_16.atom,151,"Redacción del Proyecto, Dirección facultativa y Coordinación de Seguridad y Salud de las obras de ampliación del comedor y vestuarios del Cementerio de la Almudena, espacios generales del crematorio de la Almudena y construcción de una marquesina en el crematorio Sur
",['71230000.0'],https://contrataciondelestado.es/wps/wcm/connect/dd1a3cc6-9e1e-4d35-90cb-b9f3341b6a90/DOC20180712135744Bases+de+contratacion_CM90070.pdf?MOD=AJPERES
71,71,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_201124_14.atom,159,"Servicios para desarrollar acciones relativas a la recopilación y organización documental, análisis preliminar y sistematización de información de preparación del plan de difusión, desarrollo e implantación del sistema de alertas tempranas anticorrupción Saler (2019-2022)","['[79411000, 72221000]']",https://contrataciondelestado.es/wps/wcm/connect/4c236097-5c91-4749-ac29-6f0da5bd69e0/DOC20180423144055CNME+plan+de+implantacion+y+difusion+SALER.pdf?MOD=AJPERES
72,72,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_201124_14.atom,96,"Servicio de mantenimiento y actualización de los contenidos de la Web de la Red Municipal de Bibliotecas de Sevilla, así como el servicio de mantenimiento de la conexión a internet, el hardware y el software del bibliobús municipal, mantenimiento de la base de datos de los libros electrónicos y gestión de descargas",['72000000.0'],https://contrataciondelestado.es/wps/wcm/connect/157cc279-b34c-4716-8a7d-25ef8270cddd/DOC20180626091754Condiciones+administrativas.pdf?MOD=AJPERES
73,73,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_201124_13.atom,310,"Seguro clavo a clavo (que abarque desde el transporte de las obras de la Colección Bellver, actualmente ubicadas en la casa de D. Mariano Bellver, sita en la Plaza del Museo, hasta el nuevo museo en la calle Fabiola) y la estancia en su nueva sede por un período de 12 meses.",['66510000.0'],https://contrataciondelestado.es/wps/wcm/connect/1aff317a-4cd4-4bab-9f82-17faf1c4a39d/DOC20180605103055CADM.pdf?MOD=AJPERES
74,74,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_201124_6.atom,345,"Alquiler, transporte, montaje y desmontaje de diecisiete módulos tipo stand con su correspondiente cerramiento para el desarrollo del X Encuentro de Casa Regionales en Sevilla que organizado por el Área de Coordinación General de Distritos, Participación Ciudadana, Educación y Edificios Municipales",['45223800.0'],https://contrataciondelestado.es/wps/wcm/connect/a332400f-2e00-43f6-817f-c52520fc63ce/DOC20180628141426CONDICIONES+ADMINISTRATIVAS+MODULOS+CASAS+REGIONALES+2018.pdf?MOD=AJPERES
75,75,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_201124_5.atom,234,"Reestructuración y nuevo cableado sistema de detección de incendios, así como reforma de instalación de grupos de presión del sistema de extinción de incendios de la Biblioteca Pública del Estado “Bartolomé J. Gallardo” en Badajoz",['51700000.0'],https://contrataciondelestado.es/wps/wcm/connect/0dcd3b83-debe-4466-8f00-23e52eb16072/DOC20180628132031pliego+condiciones.pdf?MOD=AJPERES
76,76,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_201124_2.atom,496,"Suministro de juntas, empaquetaduras, anillos y otros para el conjunto mecánico aleta estabilizadora, caja de distribución de aceite y hélice paso variable con destino a los BAM desplegados en SEA GUARDIAN.- EXP 1572-18",['34934000.0'],https://contrataciondelestado.es/wps/wcm/connect/df38a421-e2e1-4cc0-9884-71fc104dd009/DOC20180628113545FAS-17861518.PDF?MOD=AJPERES
78,78,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_201124_1.atom,344,"Redacción del proyecto,Dirección de obra y coordinación de seguridad y salud de las obras de ampliación de unidades de enterramiento,columbarios en la sección 23 del cementerio de Ntra.Sra. de la Almudena",['71242000.0'],https://contrataciondelestado.es/wps/wcm/connect/050343d4-9955-42c0-8ae4-4078fd4bf937/DOC20180726083852Bases+de+contratacion_CM90068.pdf?MOD=AJPERES
79,79,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_201124_1.atom,289,"Redacción del proyecto, dirección de la obra y coordinación de seguridad y salud de las obras de ampliación de unidades de enterramiento, sepulturas, en varios cuarteles del cementerio de Nuestra Señora de la Almudena",['71242000.0'],https://contrataciondelestado.es/wps/wcm/connect/0f388b4d-82b0-482d-80bc-3612cca8fd03/DOC20180726091938Bases+de+contratacion_CM90067.pdf?MOD=AJPERES
81,81,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_201124.atom,14,"Redacción del Proyecto básico y de Ejecución, Estudio Básico de Seguridad y Salud correspondiente, Dirección, Liquidación, Recepción, y Coordinación de Seguridad y Salud de las Obras de Reforma Integral a realizar en los locales municipales sitos en C/ Virgen del Mayor Dolor, nº 5 y 9, Barriada de la Barzola.",['71541000.0'],https://contrataciondelestado.es/wps/wcm/connect/67f315aa-250a-4a89-b9bc-ce61cfad4453/DOC20180608141130Condiciones-Administrativas.pdf?MOD=AJPERES
83,83,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_211248_20.atom,255,"Suministro de 20.500 cartuchos, del calibre 9mm ""Parabellum"", blindado ""NO-TOX"" (para uso en galería), de punta redonda, o troncocónica, con vaina de latón, debiendo tener un peso en punta de 120 grains, especial para prácticas en Galería de Tiro y 15.000 cartuchos, del calibre 9mm ""Parabellum"", semiblindada, carga de proyección no inferior a 124 grains, para dotación de armas, en especial para pistolas Walter, de Policía Local",['35330000.0'],https://contrataciondelestado.es/wps/wcm/connect/c41e5487-923d-4063-a2a1-108f99e208d2/DOC20180629143249PCAP.pdf?MOD=AJPERES
84,84,contratosMenoresPerfilesContratantes_2018.zip,contratosMenoresPerfilesContratantes_20190225_211248_14.atom,458,"Suministro de packs completos de material escolar común y ordinario de los establecidos como básicos en la etapa d Educación Primaria, dentro del programa ""Empieza el Cole Sur 2018-2019"" de ayudas del Distrito Sur.",['39162110.0'],https://contrataciondelestado.es/wps/wcm/connect/437a9731-cad5-4cbf-9b0b-4b63dafd11b5/DOC2018080213191504CONDICIONES_EJECUCION_firmadas.pdf?MOD=AJPERES
